cust_id,lookalikes
C0001,"[('C0164', 0.9999247622065323), ('C0085', 0.9995960737406712), ('C0127', 0.9995685864384749)]"
C0002,"[('C0157', 0.9999942123711493), ('C0094', 0.9998276141994118), ('C0029', 0.999824813313627)]"
C0003,"[('C0111', 0.9956161658685471), ('C0160', 0.9891985743778676), ('C0147', 0.9860269354916192)]"
C0004,"[('C0162', 0.9999998954114413), ('C0165', 0.9999644203456909), ('C0175', 0.9985900927155297)]"
C0005,"[('C0080', 0.9999807052404533), ('C0167', 0.9999735069046766), ('C0177', 0.999928691454309)]"
C0006,"[('C0079', 0.9999729767790427), ('C0117', 0.9966006126920676), ('C0196', 0.9923079251591572)]"
C0007,"[('C0146', 0.9999892184641412), ('C0125', 0.999785998215434), ('C0061', 0.9996884488742618)]"
C0008,"[('C0109', 0.999794069724011), ('C0136', 0.9995380903473349), ('C0124', 0.998847235575458)]"
C0009,"[('C0015', 0.999999832307083), ('C0131', 0.9999970969653273), ('C0193', 0.9999920000374725)]"
C0010,"[('C0176', 0.9980107326194383), ('C0027', 0.9940979502679277), ('C0055', 0.9771402135842614)]"
C0011,"[('C0139', 0.999521575865666), ('C0096', 0.9993270024800897), ('C0171', 0.9980219188436079)]"
C0012,"[('C0101', 0.9999591900113064), ('C0156', 0.9998737484945023), ('C0093', 0.9998457514670662)]"
C0013,"[('C0067', 0.9999762846412198), ('C0138', 0.9998236512810545), ('C0141', 0.9997521601730672)]"
C0014,"[('C0192', 0.9999987869552464), ('C0159', 0.9999986053609479), ('C0186', 0.9999778895603455)]"
C0015,"[('C0009', 0.999999832307083), ('C0131', 0.999998324719213), ('C0120', 0.9999931741036726)]"
C0016,"[('C0154', 0.9997996887384316), ('C0026', 0.9993551612695444), ('C0040', 0.9961169900245138)]"
C0017,"[('C0075', 0.99999990830547), ('C0179', 0.9999774106366431), ('C0039', 0.9997595619964608)]"
C0018,"[('C0045', 0.9999969224460112), ('C0041', 0.9997684417652772), ('C0068', 0.9994197410253303)]"
C0019,"[('C0142', 0.9998880084422653), ('C0174', 0.9996254971535451), ('C0076', 0.9990171747589464)]"
C0020,"[('C0058', 0.9999997765161889), ('C0193', 0.9999994388278662), ('C0198', 0.9999982875594068)]"
C0021,"[('C0155', 0.9999507920494966), ('C0188', 0.9998614516126609), ('C0114', 0.9998267583398427)]"
C0022,"[('C0141', 0.9999091009345031), ('C0138', 0.9998560611364155), ('C0067', 0.9995835597664955)]"
C0023,"[('C0100', 0.9997663303389601), ('C0064', 0.9977236014623638), ('C0011', 0.9952170105970645)]"
C0024,"[('C0084', 0.9999971340539974), ('C0195', 0.9999940304926206), ('C0124', 0.9998727009712178)]"
C0025,"[('C0199', 0.9999969325867761), ('C0056', 0.9999611276859988), ('C0062', 0.9999148404386382)]"
C0026,"[('C0154', 0.9998736275756283), ('C0016', 0.9993551612695444), ('C0040', 0.9923134857322141)]"
C0027,"[('C0176', 0.998959857671982), ('C0055', 0.9944368107668285), ('C0010', 0.9940979502679277)]"
C0028,"[('C0153', 0.9999927690312702), ('C0065', 0.9999831109208335), ('C0093', 0.9999543830046297)]"
C0029,"[('C0166', 0.9999999937486929), ('C0094', 0.9999999887134763), ('C0002', 0.999824813313627)]"
C0030,"[('C0038', 0.9997985550666495), ('C0086', 0.999542562718982), ('C0047', 0.9983980891787099)]"
C0031,"[('C0121', 0.9999703821596113), ('C0073', 0.9998613438702291), ('C0157', 0.9993718457901843)]"
C0032,"[('C0071', 0.9999992472951287), ('C0052', 0.9999911901700111), ('C0151', 0.9999090839872589)]"
C0033,"[('C0060', 0.9999717860044479), ('C0112', 0.9999257956828339), ('C0129', 0.9998883397275101)]"
C0034,"[('C0181', 0.9904996947908862), ('C0091', 0.9897953851586446), ('C0098', 0.9374064670078344)]"
C0035,"[('C0083', 0.9999950133059549), ('C0112', 0.9999887258668012), ('C0060', 0.9999556414045463)]"
C0036,"[('C0133', 0.9999999743075135), ('C0119', 0.9999943380387337), ('C0132', 0.9999651285099355)]"
C0037,"[('C0170', 0.9998315048910037), ('C0051', 0.9991889253369027), ('C0022', 0.9978396818694766)]"
C0038,"[('C0086', 0.9999482291009054), ('C0030', 0.9997985550666495), ('C0047', 0.9993325828562603)]"
C0039,"[('C0169', 0.999999212412458), ('C0113', 0.9999801209107751), ('C0179', 0.9998843636422797)]"
C0040,"[('C0016', 0.9961169900245138), ('C0154', 0.9941553864809896), ('C0026', 0.9923134857322141)]"
C0041,"[('C0068', 0.9999212815708688), ('C0156', 0.9997718462926148), ('C0018', 0.9997684417652772)]"
C0042,"[('C0089', 0.9999990610817238), ('C0092', 0.9999160789066552), ('C0085', 0.9998326426864933)]"
C0043,"[('C0132', 0.9999675385590011), ('C0119', 0.9999149329237992), ('C0052', 0.99987233255556)]"
C0044,"[('C0184', 0.9998645886738321), ('C0152', 0.9987903639549464), ('C0115', 0.9958156087479291)]"
C0045,"[('C0018', 0.9999969224460112), ('C0041', 0.9997119776833326), ('C0068', 0.9993321606426203)]"
C0046,"[('C0053', 0.999959995207616), ('C0087', 0.999959000231785), ('C0182', 0.9999026444204486)]"
C0047,"[('C0106', 0.9997765607872062), ('C0086', 0.9996525472547767), ('C0038', 0.9993325828562603)]"
C0048,"[('C0183', 0.9999997363059528), ('C0187', 0.9980113055125851), ('C0117', 0.9913805939295635)]"
C0049,"[('C0161', 0.9983989395301716), ('C0134', 0.9981744445115417), ('C0098', 0.9965860971206624)]"
C0050,"[('C0074', 0.9999589161163237), ('C0137', 0.9993214443390489), ('C0115', 0.9989338169964677)]"
C0051,"[('C0170', 0.9997597426022673), ('C0171', 0.9996276244648546), ('C0037', 0.9991889253369027)]"
C0052,"[('C0071', 0.999995587683511), ('C0032', 0.9999911901700111), ('C0043', 0.99987233255556)]"
C0053,"[('C0182', 0.9999874541354946), ('C0046', 0.999959995207616), ('C0087', 0.999838000270155)]"
C0054,"[('C0105', 0.9999901399224018), ('C0082', 0.9999747337867778), ('C0149', 0.9999692096735966)]"
C0055,"[('C0174', 0.9998239408756523), ('C0019', 0.9989360198112285), ('C0142', 0.9981339684776249)]"
C0056,"[('C0062', 0.999991039135368), ('C0025', 0.9999611276859988), ('C0199', 0.999936221440607)]"
C0057,"[('C0102', 0.9999690890219332), ('C0173', 0.9999661581574564), ('C0194', 0.9999047934643087)]"
C0058,"[('C0193', 0.9999999236176812), ('C0020', 0.9999997765161889), ('C0198', 0.9999968268171054)]"
C0059,"[('C0114', 0.9999958362759217), ('C0188', 0.9999882210748234), ('C0155', 0.9999329578243284)]"
C0060,"[('C0112', 0.9999890931916346), ('C0033', 0.9999717860044479), ('C0035', 0.9999556414045463)]"
C0061,"[('C0178', 0.9999349129999345), ('C0140', 0.9998679174323674), ('C0146', 0.999793575111109)]"
C0062,"[('C0056', 0.999991039135368), ('C0025', 0.9999148404386382), ('C0199', 0.9998794494229184)]"
C0063,"[('C0150', 0.9999982070986027), ('C0191', 0.999996940324289), ('C0180', 0.9999904126228862)]"
C0064,"[('C0023', 0.9977236014623638), ('C0126', 0.9972818162071756), ('C0100', 0.9960327151048411)]"
C0065,"[('C0093', 0.9999930070357111), ('C0028', 0.9999831109208335), ('C0153', 0.9999537782253906)]"
C0066,"[('C0158', 0.9975534250365904), ('C0026', 0.9896377263090378), ('C0154', 0.9872299995023398)]"
C0067,"[('C0013', 0.9999762846412198), ('C0138', 0.9999292730823502), ('C0141', 0.9998817714325243)]"
C0068,"[('C0156', 0.9999611543742175), ('C0041', 0.9999212815708688), ('C0012', 0.9996948518713621)]"
C0069,"[('C0140', 0.9997680931344238), ('C0178', 0.9996520509918214), ('C0078', 0.9993276954355389)]"
C0070,"[('C0189', 0.9999884751294267), ('C0172', 0.9999640825522143), ('C0077', 0.9999057920535421)]"
C0071,"[('C0032', 0.9999992472951287), ('C0052', 0.999995587683511), ('C0151', 0.9998917868908316)]"
C0072,"[('C0106', 0.9997203326421947), ('C0047', 0.9989970641856887), ('C0086', 0.9974697268083581)]"
C0073,"[('C0121', 0.9999598917470083), ('C0031', 0.9998613438702291), ('C0088', 0.9997060334872306)]"
C0074,"[('C0050', 0.9999589161163237), ('C0137', 0.998946516075537), ('C0115', 0.9984743097690976)]"
C0075,"[('C0017', 0.99999990830547), ('C0179', 0.9999801973448266), ('C0039', 0.9997688605738666)]"
C0076,"[('C0166', 0.9996737491961946), ('C0029', 0.9996708869628601), ('C0094', 0.9996670213677442)]"
C0077,"[('C0144', 0.9999986256430584), ('C0172', 0.9999862135188196), ('C0070', 0.9999057920535421)]"
